,File,Specie ID,FminVoc,FmaxVoc,Fdom,FCC1,FCC2,FCC3,FCC4,FCC5,FCC6,FCC7,FCC8,FCC9,FCC10,FCC11,FCC12,FCC13,FCC14,FCC15,FCC16,FCC17,FCC18,FCC19,FCC20,FCC21,FCC22,FCC23,SpectralCentroid,Bandwidth,SpectralFlatness,Length,DeltaFreq
10126,SMA03251_20210326_200000.wav,Nyctidromus_albicollis,1195.3125,2671.875,2038.239329268293,-1.14454823034193,1.675674147965307,-0.02566518169391629,-8.16333111805219,-3.735639271012209,-2.323952133969017,1.974997798946036,-8.634475206201248,2.609535347633838,-1.591738518834285,-1.56024990209589,-10.79603971883814,-2.068523567582141,-1.525171221289468,0.6219377095613459,1.171829870389653,-0.3079917790800701,-1.066948456418259,0.2158676304184207,-4.1548813622959,-1.043483937272851,2.033096789739571,0.09076231550864167,1879.818107061844,357.6910492802614,0.632297933101654,0.5653333329999999,1476.5625
10135,SMA03251_20210326_200000.wav,Nyctidromus_albicollis,1406.25,2695.3125,2061.859756097561,-1.672575365808738,-3.121303866592092,1.051227222079103,-10.62099616936124,2.579416608634672,-2.683185206051093,-0.68287734820901,-10.2036403282025,-0.4778248352458916,-1.53266281990077,0.5672762605102876,-15.4356400287676,0.2183122911371662,-0.3770163027488691,0.0277659746386667,-1.277362510326195,0.6302958856486348,0.9147625212810743,-0.341153749146812,-3.107278014496436,-1.777927424030176,0.3587639283054511,0.5972971422082458,2027.448468386479,289.4793140650946,0.7996874451637268,0.5546666670000011,1289.0625
10218,SMA03251_20210326_200000.wav,Nyctidromus_albicollis,1195.3125,2507.8125,1452.873475609756,-1.728103058643731,1.623908378223323,-0.1443521017355784,-9.76590955726465,0.1577442269523358,-3.057814460912673,-0.861408487197494,-10.33560078562296,4.283128231777425,0.7945224032676872,-1.593356426913919,-12.02821322654409,-0.966113145951902,-0.4989888897968383,1.509989374305898,1.356696226144499,0.2539966375639429,-0.7076324226733868,0.5514471586804921,-4.012502394317037,-3.567544331662697,1.694105773035735,1.910201093340866,1863.611094141206,360.3965388454534,0.7659275531768799,0.5866666669999994,1312.5
10249,SMA03251_20210326_200000.wav,Nyctidromus_albicollis,1148.4375,3328.125,1171.852134146342,-0.970137824354206,1.340050144120094,0.4224112634888487,-9.871715576568201,-2.598633513168414,-1.138105900346069,3.204025237016764,-8.742759123527899,-0.9011699640901174,-1.604601304038896,2.552531832276396,-11.19236982656728,-0.9375638426315737,1.503158465729464,0.5397674671053376,0.8731339086294087,0.01085799390754412,0.05436944053645654,0.03911873453882967,-3.194833339463343,0.796050905136376,2.792957907117262,-2.397189169349487,2354.406290164233,677.325636960363,0.6598960161209106,0.5866666659999993,2179.6875
10270,SMA03251_20210326_200000.wav,Nyctidromus_albicollis,1406.25,2578.125,2061.859756097561,-2.692117097219811,-1.703788419544874,3.163565517374912,-10.00872712565597,0.423707681345582,-3.047856126579742,1.069186583759102,-10.17529169355655,-0.786097645138195,-0.9576422179737359,0.5789284423037784,-14.88624578064663,0.2729595598107013,0.6493509868344519,0.5800425573882751,-1.382716515630011,0.9883588856768375,0.784379802126442,-0.8611743199955454,-2.720161597595351,-1.028383786808249,1.475530455921528,1.047746524350153,2006.87436508243,257.8819593046128,0.7334089279174805,0.5333333339999982,1171.875
10278,SMA03251_20210326_200000.wav,Nyctidromus_albicollis,1195.3125,2484.375,1476.288109756098,-0.6456186733290745,-0.0574233104944426,1.265035866904507,-9.113343507208137,-0.06021367082747187,-2.930430214423783,-0.4045860642283702,-9.302942683504929,3.154712085352692,0.2559370506655181,-0.6783956125503493,-12.21731057363295,-0.4134654347711608,-0.6775296691194911,1.352051489677713,0.1382993327530896,0.0773844128526379,-0.2067021195416827,0.02900520759106873,-3.216616477406055,-2.076791261312728,0.9697700920721655,1.85003451668047,1880.097957348028,344.4058619339213,0.795055091381073,0.6933333339999947,1289.0625
10285,SMA03251_20210326_200000.wav,Nyctidromus_albicollis,1429.6875,2718.75,2272.614329268293,-1.133476663904612,-2.225613686688834,0.6242000313495735,-12.65146627126309,1.643068976369234,-0.6798393752536721,-0.7312301511408452,-12.43482301008069,0.07055498843410257,-0.9369272985304459,1.102948440295403,-15.74461936098897,-0.1339338191221009,0.161137057579904,0.01697839204724816,-1.203396904364606,0.3331809482608372,0.7955835814229127,-0.2024072131007751,-1.396379363770168,-1.490517223915025,-0.2238549776624059,0.134730067121132,2062.60448964106,340.9349435033515,1.001324534416199,0.5333333329999945,1289.0625
10297,SMA03251_20210326_200000.wav,Nyctidromus_albicollis,1125.0,2671.875,1897.682926829268,0.1490481052964208,-3.006045177038528,0.9133170276404371,-10.08505592272271,-0.2746269006062676,0.169066614955091,0.106777564798259,-3.245304791896181,-0.8652670209680735,-2.778784335349267,-0.6721797977355815,-5.626065450634503,0.5079511035461415,-0.8900495281821751,0.01936761068025689,-0.4197183542735272,0.1196343327499069,0.7053318829521178,-0.2979831389867267,1.668692438085231,0.8984465652084517,-0.6431884924132638,0.7490434356290082,1942.304192953083,358.3021974859748,0.8410064578056335,1.482666666999997,1546.875
10310,SMA03251_20210326_200000.wav,Nyctidromus_albicollis,1335.9375,2625.0,2085.205792682927,0.2890427358499376,-3.330765452271707,-0.6167924641648079,-4.06503801058825,0.3128991433619386,-3.716581676976421,-0.6992243981365968,-6.97688129518587,0.7080772901275609,-1.36228616754143,0.1429567754157086,-12.55682127473139,0.02438640996900943,-0.1183106608623208,0.5824747482600003,-1.919726268983128,-0.0882187752936427,1.070818263803129,0.3997557374749361,-4.156272218369634,-0.3537736438352763,0.8148958656919117,0.2609749534080403,1984.020020293819,290.3782970296768,0.7604499459266663,0.9066666659999996,1289.0625
10322,SMA03251_20210326_200000.wav,Nyctidromus_albicollis,1500.0,2671.875,2061.951219512195,-1.135917409143569,-2.605418932186476,2.535999297554879,-16.88140715296792,0.3060240375718895,-1.7931177119604,0.614873284015109,-16.24921272789505,-0.5734713951032304,0.7599289359716068,0.8537292085671278,-18.72070716381859,0.2692278343459562,0.9636793041899496,-1.035360772339433,-0.4724841043588401,0.4683817478298418,1.189699412125475,-1.190453356631437,-1.44667106684885,-0.299621108633136,-0.3042754260038666,0.01601801631660438,2085.000692407216,278.2604965500455,0.827141284942627,0.3413333330000015,1171.875
10329,SMA03251_20210326_200000.wav,Nyctidromus_albicollis,1125.0,2648.4375,1897.682926829268,0.02428934667609706,-0.1728718350402213,0.7270520925678821,-4.961042151457027,0.2942216677264254,-2.871630536005543,0.2172058919478072,-8.394770408644975,-1.255050236899739,-0.7762679715633938,1.446634628266585,-4.278860554422432,1.206339943233107,-2.306668795080622,-1.482926804834952,1.991016353839677,0.3940168655190033,-0.7112656533468004,-0.7366596324676112,-0.5874788051309472,1.095728929541259,0.5841789387240466,-1.209857616240731,1922.62496147879,358.8848936412654,0.888576328754425,1.301333333000002,1523.4375
10356,SMA03251_20210326_200000.wav,Nyctidromus_albicollis,1101.5625,2460.9375,1686.928353658536,2.192928394987436,-1.760464528726895,-1.961227928111785,-8.631303078549173,-0.2472114574865908,-0.9642885730549178,-0.03680158358298502,-5.356027079218749,1.286880412224646,-1.821727181742539,-1.258563513248311,-6.791722532401363,2.104428420213824,-0.197230462978111,0.7823020231797101,-0.151677917082238,-0.0294999915912039,0.5210780219162615,0.9145099837638316,0.4294594221059551,1.628843930231602,0.4141603815462254,0.05821959594961057,1857.185659471796,321.848907335967,0.8102299571037292,1.194666666000003,1359.375
10361,SMA03251_20210326_200000.wav,Nyctidromus_albicollis,1148.4375,2625.0,1921.120426829268,1.020476671374754,-0.7755281753220172,-0.1493322907717682,-8.124693274739869,-0.549228441684322,-1.167840693878303,-0.3140974108620804,-10.06197518961092,0.5083107492108387,-1.612192370746605,-0.2580181065383428,-11.64161459140153,-0.2072820939778097,0.08712352817607971,0.4312901585859009,-1.226852947643286,-0.409252921784188,0.2875505678326989,0.1935408164525564,-0.7080009377612115,0.4270561349352139,1.045814208739485,0.4270366926072779,1913.224211735646,389.1437396276508,0.9638473987579346,1.024000000000001,1476.5625
10364,SMA03251_20210326_200000.wav,Nyctidromus_albicollis,1148.4375,2554.6875,1686.974085365854,0.6037443949999899,-2.561924216374009,-1.269480978105243,-8.581215543705838,0.1590597212067499,-1.219553685784041,0.2870613223677531,-5.936305747244657,0.8030121389032998,-2.645336062349099,-1.041247409540862,-6.908933947669771,1.22925316453688,-0.722642644110182,0.07487483734665246,0.2520533885323075,0.2085029231789634,0.6130938574212755,0.4481186051506318,-0.02825338499298491,0.4354628497134101,0.2901614438244748,-0.2202100267927407,1900.020218796917,318.3580013955286,0.7036958932876587,0.9280000000000044,1406.25
10378,SMA03251_20210326_200000.wav,Nyctidromus_albicollis,890.625,2648.4375,1663.307926829268,0.3939547879088776,-2.265024408187757,-1.150951518965937,-5.479519216352784,2.525303897993047,-2.012412378906191,-0.8586899249754638,-4.89078334180611,1.22444163069287,-2.17274832660849,-1.390920717915168,-6.72275911545311,0.6242260583666134,-1.902750938889199,-0.541613304443976,0.1567096001688197,0.07675709015257859,0.1207578230995194,0.2031127381739869,-1.772672236626893,-1.365782341205213,0.008692679218862409,0.2785229097403595,1849.339104409017,371.1966021093043,0.6685935854911804,0.9279999999999973,1757.8125
